@relation Clustered

@attribute CustId numeric
@attribute Cluster numeric

@data
0,1
1,1
2,1
3,0
4,0
5,0
6,1
7,2
8,1
9,2
10,2
11,0
12,1
13,1
14,0
15,2
16,0
17,1
18,1
19,0
20,1
21,2
22,0
23,2
24,1
25,2
26,0
27,2
28,0
29,0
30,1
31,1
32,1
33,0
34,0
35,1
36,0
37,0
38,1
39,1
40,1
41,2
42,1
43,1
44,2
45,0
46,2
47,1
48,1
49,2
50,0
51,2
52,0
53,1
54,1
55,0
56,1
57,2
58,2
59,1
60,1
61,1
62,0
63,1
64,2
65,1
66,0
67,0
68,1
69,0
70,0
71,1
72,0
73,2
74,1
75,0
76,2
77,1
78,0
79,0
80,2
81,0
82,0
83,0
84,2
85,1
86,0
87,2
88,1
89,1
90,2
91,0
92,2
93,0
94,0
95,0
96,1
97,0
98,2
99,1
100,0
101,1
102,1
103,1
104,0
105,0
106,2
107,2
108,1
109,1
110,1
111,2
112,2
113,0
114,2
115,1
116,2
117,0
118,2
119,2
120,0
121,1
122,2
123,0
124,2
125,2
126,1
127,1
128,1
129,1
130,0
131,1
132,0
133,0
134,1
135,2
136,0
137,0
138,1
139,0
140,1
141,1
142,1
143,0
144,0
145,2
146,2
147,1
148,1
149,2
150,2
151,0
152,1
153,1
154,2
155,0
156,0
157,2
158,0
159,2
160,2
161,2
162,2
163,0
164,1
165,1
166,2
167,0
168,0
169,2
170,1
171,1
172,1
173,1
174,1
175,0
176,0
177,1
178,0
179,1
180,0
181,1
182,2
183,2
184,2
185,1
186,1
187,1
188,0
189,0
190,0
191,2
192,0
193,0
194,0
195,0
196,0
197,0
198,2
199,1
200,2
201,1
202,2
203,2
204,0
205,1
206,1
207,2
208,1
209,0
210,2
211,0
212,2
213,2
214,2
215,2
216,1
217,0
218,2
219,1
220,2
221,2
222,0
223,1
224,2
225,0
226,2
227,2
228,1
229,0
230,2
231,1
232,0
233,0
234,1
235,2
236,2
237,0
238,1
239,2
240,1
241,0
242,0
243,1
244,2
245,1
246,0
247,2
248,0
249,1
250,2
251,0
252,1
253,2
254,0
255,2
256,1
257,2
258,2
259,1
260,2
261,0
262,1
263,1
264,1
265,1
266,1
267,1
268,0
269,1
270,0
271,1
272,1
273,0
274,1
275,1
276,1
277,1
278,0
279,1
280,0
281,0
282,0
283,0
284,2
285,2
286,0
287,1
288,0
289,2
290,1
291,2
292,1
293,1
294,0
295,1
296,1
297,1
298,0
299,1
300,1
301,2
302,1
303,1
304,1
305,1
306,0
307,1
308,1
309,2
310,1
311,0
312,1
313,2
314,2
315,2
316,0
317,1
318,2
319,1
320,1
321,1
322,1
323,2
324,2
325,1
326,0
327,0
328,1
329,2
330,0
331,2
332,0
333,1
334,1
335,1
336,0
337,1
338,2
339,1
340,0
341,2
342,1
343,2
344,1
345,0
346,1
347,0
348,0
349,2
350,1
351,0
352,0
353,2
354,0
355,1
356,1
357,0
358,2
359,0
360,2
361,2
362,1
363,1
364,2
365,0
366,0
367,0
368,1
369,0
370,0
371,2
372,0
373,1
374,1
375,0
376,2
377,0
378,1
379,1
380,2
381,2
382,0
383,2
384,2
385,1
386,1
387,2
388,1
389,0
390,2
391,2
392,0
393,2
394,2
395,2
396,0
397,1
398,2
399,2
400,2
401,1
402,2
403,0
404,1
405,2
406,1
407,0
408,1
409,2
410,1
411,2
412,2
413,1
414,1
415,2
416,2
417,2
418,2
419,0
420,2
421,1
422,1
423,1
424,1
425,2
426,1
427,1
428,1
429,1
430,2
431,0
432,0
433,1
434,0
435,2
436,2
437,1
438,0
439,2
440,2
441,1
442,1
443,1
444,0
445,1
446,0
447,2
448,0
449,1
450,1
451,2
452,2
453,2
454,0
455,2
456,1
457,1
458,0
459,0
460,1
461,1
462,0
463,2
464,1
465,2
466,1
467,0
468,1
469,1
470,0
471,2
472,2
473,1
474,0
475,2
476,1
477,2
478,1
479,0
480,1
481,2
482,0
483,1
484,2
485,0
486,1
487,0
488,0
489,1
490,2
491,2
492,1
493,2
494,2
495,1
496,1
497,1
498,0
499,2
500,1
501,1
502,0
503,1
504,1
505,1
506,1
507,2
508,2
509,0
510,1
511,1
512,2
513,1
514,2
515,2
516,2
517,1
518,0
519,2
520,1
521,1
522,2
523,2
524,1
525,1
526,0
527,1
528,2
529,2
530,0
531,2
532,2
533,2
534,2
535,1
536,1
537,2
538,1
539,0
540,2
541,1
542,2
543,1
544,0
545,2
546,1
547,1
548,1
549,2
550,2
551,2
552,2
553,2
554,1
555,2
556,1
557,0
558,2
559,1
560,0
561,1
562,0
563,1
564,0
565,0
566,1
567,1
568,0
569,1
570,2
571,2
572,1
573,1
574,2
575,0
576,1
577,1
578,1
579,1
580,1
581,1
582,0
583,2
584,1
585,0
586,0
587,2
588,2
589,1
590,0
591,1
592,0
593,0
594,2
595,2
596,0
597,2
598,2
599,1
600,1
601,2
602,2
603,1
604,1
605,2
606,1
607,1
608,2
609,1
610,2
611,1
612,1
613,1
614,0
615,1
616,1
617,1
618,1
619,1
620,2
621,1
622,0
623,2
624,2
625,2
626,2
627,2
628,1
629,0
630,0
631,1
632,2
633,0
634,0
635,0
636,0
637,1
638,2
639,1
640,1
641,0
642,1
643,0
644,1
645,1
646,1
647,1
648,2
649,2
650,1
651,1
652,1
653,0
654,1
655,1
656,1
657,1
658,2
659,2
660,1
661,2
662,1
663,1
664,1
665,1
666,1
667,0
668,0
669,1
670,2
671,0
672,1
673,1
674,1
675,2
676,0
677,1
678,2
679,1
680,0
681,0
682,1
683,1
684,2
685,2
686,1
687,2
688,1
689,1
690,2
691,1
692,1
693,2
694,1
695,1
696,0
697,2
698,2
699,2
700,2
701,0
702,0
703,0
704,2
705,0
706,1
707,1
708,2
709,2
710,2
711,0
712,2
713,1
714,2
715,0
716,0
717,2
718,0
719,1
720,1
721,1
722,2
723,0
724,1
725,2
726,1
727,1
728,1
729,0
730,2
731,1
732,1
733,1
734,1
735,1
736,1
737,1
738,1
739,0
740,1
741,1
742,0
743,1
744,0
745,2
746,1
747,0
748,2
749,0
750,2
751,1
752,1
753,1
754,2
755,1
756,0
757,2
758,1
759,1
760,1
761,1
762,0
763,1
764,1
765,1
766,0
767,2
768,2
769,0
770,2
771,2
772,1
773,1
774,2
775,1
776,2
777,2
778,2
779,1
780,2
781,2
782,1
783,2
784,1
785,0
786,0
787,2
788,2
789,2
790,1
791,1
792,0
793,2
794,2
795,1
796,2
797,1
798,2
799,0
800,1
801,2
802,0
803,2
804,1
